tipo_inmueble,titulo,precio_mxn,recamaras,banos,m2,colonia,ubicacion,publicado_reciente,url
Departamento,,3800000,3,3,75,Sara 4449,"Sara 4449, Guadalupe Tepeyac, Ciudad De México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",True,https://departamento.mercadolibre.com.mx/MLM-5390330888-hermoso-departamento-en-venta-en-sara-towers-de-3-recamaras-y-2-banos-comodo-y-bien-iluminado-_JM
Casa,Casa Con Potencial Residencial Y Comercial,4500000,3,3,440,San Felipe De Jesús,"San Felipe De Jesús, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4833606036-casa-con-potencial-residencial-y-comercial-_JM
Casa,,9300000,8,5,255,Chiclayo,"Chiclayo, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4965643814-casa-en-venta-en-lindavista-norte-_JM
Casa,,13650000,4,5,300,Sin Calle,"Sin Calle, Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2817912093-residencia-en-venta-remodelada-y-lista-para-habitar-lindavista-norte-_JM
Casa,,5850000,6,4,293,Avenida Cruz Azul 100,"Avenida Cruz Azul 100, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2792149385-casa-en-venta-en-industrial-_JM
Departamento,,2643334,2,1,68,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995492040-departamento-en-venta-en-santa-isabel-tola-_JM
Casa,,6800000,8,7,360,Calle Wagner 300,"Calle Wagner 300, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5225283468-casa-en-venta-en-vallejo-_JM
Departamento,,7995000,3,3,127,Pernambuco 800,"Pernambuco 800, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995470604-departamento-en-venta-en-lindavista-_JM
Casa,,19000000,3,3,275,Pujato No. 8,"Pujato No. 8, Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2902831841-casa-en-venta-en-lindavista-norte-_JM
Departamento,,2189000,2,1,50,Av. Acueducto 835,"Av. Acueducto 835, Candelaria Ticoman, Ciudad De México, Barrio Candelaria Ticomán, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2798063013-excelentes-departamentos-nuevos-av-acueducto-preventa-2-y-3-recamaras-balcon-muy-buena-ubicacion-_JM
Casa,,15000000,5,5,500,Torres Lindavista,"Torres Lindavista, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2776038787-casa-en-venta-en-torres-lindavista-_JM
Departamento,,3150000,3,1,64,Guadalupe Tepeyac,"Guadalupe Tepeyac, Mexico City, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2831523237-sara-towers-guadalupe-tepeyac-departamento-3-recamaras-bastante-luminoso-_JM
Departamento,,2799000,2,2,66,Eje 1 Oriente Ferrocarril Hidalgo 1337,"Eje 1 Oriente Ferrocarril Hidalgo 1337,Colonia Tablas De San Agustín, Alcaldía Gustavo A. Madero, C.P. 7800, Ciudad De México, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4761769620-departamento-en-venta-en-tablas-de-san-agustin-_JM
Departamento,,2755817,2,1,70,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2784668511-departamento-en-venta-en-santa-isabel-tola-_JM
Departamento,,2432700,3,1,77,Calz. San Juan De Aragón 533,"Calz. San Juan De Aragón 533, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4971136862-departamento-en-venta-san-juan-de-aragon-cdmx-_JM
Casa,,6900000,5,2,450,Adolfo Ruiz Cortínez Lt 14 Mz 104,"Adolfo Ruiz Cortínez Lt 14 Mz 104, Zona Escolar Oriente, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-3876924578-amplia-casa-en-zona-escolar-oriente-gustavo-a-madero-_JM
Departamento,,3070028,2,1,76,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995472436-departamento-en-venta-en-santa-isabel-tola-_JM
Departamento,Bonito Departamento Excelente Ubicacion En Frente De La Central Camionera Del Norte,2650000,2,2,60,Pte 116 16,"Pte 116 16, Panamericana, Gustavo A. Madero, 07770 Ciudad De México, CDMX, Mexico, Magdalena De Las Salinas, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2847955771-bonito-departamento-excelente-ubicacion-en-frente-de-la-central-camionera-del-norte-_JM
Departamento,,3153688,2,1,77,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995492710-departamento-en-venta-en-santa-isabel-tola-_JM
Departamento,,3072688,2,1,76,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995505478-departamento-en-venta-en-santa-isabel-tola-_JM
Departamento,,1920000,1,1,40,San Juan De Aragón I Sección,"San Juan De Aragón I Sección, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-3829176052-departamentos-en-venta-en-aragon-_JM
Departamento,,3620000,2,2,63,Insurgentes Nte.,"Insurgentes Nte., Ciudad De México, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2737583677-departamento-en-venta-en-lindavista-gustavo-a-madero-_JM
Bodega,,78000000,,4,2300,De Los Rompeolas,"De Los Rompeolas, Acueducto De Guadalupe, Ciudad De México, Acueducto De Guadalupe, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2576516229-bodega-en-venta-en-alcaldia-gustavo-a-madero-acueducto-de-guadalupe-_JM
Oficina,,105000,,,375,Nueva Industrial Vallejo,"Nueva Industrial Vallejo, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2814397363-oficina-en-renta-en-nueva-industrial-vallejo-gustavo-a-madero-cdmx-_JM
Edificio,"Tepeyac Insurgentes, Calle Unión, Venta De Edificio Con 4 Departamentos",14500000,,8,411,Unión 266,"Unión 266, Tepeyac Insurgentes, Ciudad De México, CDMX, México, Tepeyac Insurgentes, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-4717199702-tepeyac-insurgentes-calle-union-venta-de-edificio-con-4-departamentos-_JM
Departamento,,3650000,3,2,75,Av. Acueducto,"Av. Acueducto, Residencial Zacatenco, Ciudad De México, Residencial Zacatenco, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2878058587-departamento-en-venta-con-excelente-iluminacion-natural-en-residencial-zacatenco-a-unos-pasos-de-plaza-vista-norte-y-con-facil-acceso-a-restaurantes-gimnasio-tiendas-y-supermercado-_JM
Casa,Venta Casa En Campestre Aragón,5200000,6,3,260,Campestre Aragón,"Campestre Aragón, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2881215145-venta-casa-en-campestre-aragon-_JM
Edificio,Venta Edificio En Guadalupe Tepeyac,17000000,,,768,Guadalupe Tepeyac,"Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2881215021-venta-edificio-en-guadalupe-tepeyac-_JM
Edificio,Venta Salón De Eventos En El Corazón De La Guadalupe Tepeyac,16000000,,,369,Guadalupe Tepeyac,"Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2881176493-venta-salon-de-eventos-en-el-corazon-de-la-guadalupe-tepeyac-_JM
Terreno,"Terreno Venta En Guadalupe Insurgentes, Cdmx",8850000,,,346,Guadalupe Insurgentes,"Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",True,https://terreno.mercadolibre.com.mx/MLM-5402162276-terreno-venta-en-guadalupe-insurgentes-cdmx-_JM
Edificio,,10900000,,,450,Gertrudis Sánchez 1a Sección,"Gertrudis Sánchez 1a Sección, Gustavo A. Madero, Distrito Federal",True,https://inmueble.mercadolibre.com.mx/MLM-5406939338-excelente-edificio-en-venta-col-gertrudis-sanchez-gustavo-a-madero-cdmx-_JM
Casa,,3500000,2,2,81,C. Tetrazzini 292,"C. Tetrazzini 292, Vallejo, Ciudad De México, Vallejo, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2607898521-casa-en-venta-en-vallejo-gustavo-a-madero-_JM
Departamento,Departamentos En Preventa Cerca De La Raza,1302875,3,1,62,Borodin 3,"Borodin 3, Vallejo, Ciudad De México, Vallejo, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2590771479-departamentos-en-preventa-cerca-de-la-raza-_JM
Casa,Casa Grande Y Bonita A Unos Minutos Del Ipn Zacatenco,6200000,3,3,245,De La Arena 34,"De La Arena 34, Acueducto De Guadalupe, Gustavo A. Madero, 07270 Ciudad De México, CDMX, Mexico, Residencial Acueducto De Guadalupe, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4458820946-casa-grande-y-bonita-a-unos-minutos-del-ipn-zacatenco-_JM
Departamento,Departamento En Preventa En Gam Con Recursos Propios,1198750,2,1,54,Borodin 3,"Borodin 3, Vallejo, Ciudad De México, Vallejo, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2590807827-departamento-en-preventa-en-gam-con-recursos-propios-_JM
Casa,"Casa Para Remodelar En Vallejo Gam, Ideal Para Inversión O Familia",4250000,4,4,178,Vallejo,"Vallejo, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4754184100-casa-para-remodelar-en-vallejo-gam-ideal-para-inversion-o-familia-_JM
Casa,Venta Casa 3 Ambientes Guadalupe Insurgentes,8250000,3,2,281,SOTERO PRIETO,"SOTERO PRIETO, 58, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4507909748-venta-casa-3-ambientes-guadalupe-insurgentes-_JM
Casa,"Se Vende Residencia En Colonia Lindavista, Cdmx.",19900000,4,3,585,Lindavista Sur,"Lindavista Sur, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2837308743-se-vende-residencia-en-colonia-lindavista-cdmx-_JM
Departamento,"Pent-house En Exclusivo Desarrollo, Solo 6 Departementos, Listo Para Entrega.",3750000,2,2,118,Saul 56,"Saul 56, Guadalupe Tepeyac, Ciudad De México, CDMX, México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",True,https://departamento.mercadolibre.com.mx/MLM-5400952432-pent-house-en-exclusivo-desarrollo-solo-6-departementos-listo-para-entrega-_JM
Casa,,17999997,8,9,504,Martha 64,"Martha 64, Guadalupe Tepeyac, Gustavo A. Madero, 07840 Ciudad De México, CDMX, Mexico, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2718542243-gran-inversion-casa-de-504-m2-de-construccion-con-plusvalia-garantizada-en-gustavo-a-madero-_JM
Casa,"Tu Hogar Ideal En Acueducto De Guadalupe: Ubicación Premium, Zona Escolar Y Centros Comerciales",6199994,3,3,245,De La Arena 34,"De La Arena 34, Acueducto De Guadalupe, Gustavo A. Madero, 07270 Ciudad De México, CDMX, Mexico, Residencial Acueducto De Guadalupe, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2722438487-tu-hogar-ideal-en-acueducto-de-guadalupe-ubicacion-premium-zona-escolar-y-centros-comerciales-_JM
Departamento,"Venta Departamento Luis De La Rosa, Constitución De La República",1992500,2,1,51,Constitución De La República,"Constitución De La República, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5091433572-venta-departamento-luis-de-la-rosa-constitucion-de-la-republica-_JM
Casa,Venta Casa 4 Ambientes Salvador Díaz Mirón,4350000,4,3,226,Norte 74,"Norte 74, 8041, Salvador Díaz Mirón, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2843257117-venta-casa-4-ambientes-salvador-diaz-miron-_JM
Departamento,,2400000,2,2,63,7 De Noviembre,"7 De Noviembre, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5368473650-departamento-en-venta-en-av-congreso-de-la-union-con-balcon-y-un-cajon-fijo-_JM
Departamento,"Venta Departamentos, Guadalupe Tepeyac, Gam, Cdmx",2599590,2,2,40,Sara,"Sara, Guadalupe Tepeyac, Ciudad De México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5080691562-venta-departamentos-guadalupe-tepeyac-gam-cdmx-_JM
Departamento,"Depto En Col.guadalupe Proletaria, Gam",1800000,3,1,65,Guadalupe Proletaria,"Guadalupe Proletaria, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2737846821-depto-en-colguadalupe-proletaria-gam-_JM
Casa,Espectacular Casa En La Colonia Guadalupe Tepeyac Con Potencial De Inversión Con Una Excelente Ubicación,18000000,8,9,504,Martha 64,"Martha 64, Guadalupe Tepeyac, Gustavo A. Madero, 07840 Ciudad De México, CDMX, Mexico, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2600972989-espectacular-casa-en-la-colonia-guadalupe-tepeyac-con-potencial-de-inversion-con-una-excelente-ubicacion-_JM
Casa,Gran Oportunidad! Casa En Aragón Duplex Con Uso De Suelo Mixto. Ideal Para Residencia O Comercio,5000000,5,3,284,Nte. 70 6068,"Nte. 70 6068, Aragón Inguarán, Ciudad De México, Aragón Inguaran, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2722221837-gran-oportunidad-casa-en-aragon-duplex-con-uso-de-suelo-mixto-ideal-para-residencia-o-comercio-_JM
Departamento,,2810000,64,2,64,Aragón La Villa,"Aragón La Villa, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5192525738-departamento-64m2-balcon-2-recamaras-bodega-en-aragon-la-villa-_JM
Casa,,8750000,4,2,254,Aragón La Villa,"Aragón La Villa, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4679961070-casa-en-venta-a-3-calles-de-la-basilica-de-guadalupe-_JM
Terreno,,17490000,,,650,Arequipa SN,"Arequipa SN, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://terreno.mercadolibre.com.mx/MLM-5286706662-lindavista-terreno-premium650m2-cconstruccion-vigilancia-_JM
Departamento,,2528297,2,1,68,Santa Isabel Tola,"Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2874606383-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM
Departamento,Venta Departamento 2 Ambientes Guadalupe Insurgentes,2450000,2,1,50,Insurgentes Norte,"Insurgentes Norte, 1249, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5132127684-venta-departamento-2-ambientes-guadalupe-insurgentes-_JM
Bodega,,3700000,,,343,Zona Escolar,"Zona Escolar, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-5262373734-bodega-venta-suelo-industrial-buen-estado-en-gustavo-a-madero-cod-bgv284-_JM
Edificio,,12800000,,1,714,Calzada De Guadalupe 299,"Calzada De Guadalupe 299, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-5287389720-edificio-en-venta-en-calzada-de-guadalupe-_JM
Departamento,,2770368,2,1,76,Santa Isabel Tola,"Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5209618438-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM
Casa,,5100000,3,1,206,NORTE 90,"NORTE 90, Gertrudis Sánchez 2a Sección, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2911667335-casa-en-venta-norte-90-gustavo-a-madero-_JM
Departamento,,2817777,2,1,76,Santa Isabel Tola,"Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2874594591-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM
Edificio,,124000000,,20,7860,Honorable Congreso De La Unión 5737,"Honorable Congreso De La Unión 5737, Granjas Modernas, Ciudad De México, Granjas Modernas, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-3652327814-venta-de-hospital-en-gustavo-a-madero-en-obra-negra-_JM
Departamento,,1663000,2,1,60,Vallejo,"Vallejo, Mexico City, Vallejo, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4975301440-departamento-en-venta-joyas-vallejo-galaxias-unidad-c-se-acepta-credito-infonavit-credito-bancario-y-efectivo-informes-55-8642-76048-_JM
Departamento,,3008396,2,1,74,Santa Isabel Tola,"Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5209618458-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM
Departamento,,2635884,2,1,70,Santa Isabel Tola,"Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5209618442-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM
Departamento,,2844360,2,1,74,Santa Isabel Tola,"Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2874535707-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM
Departamento,"Preventa De Departamentos En Acueducto, Ticomán, Cdmx",2176000,2,1,50,Av. Acueducto 835,"Av. Acueducto 835, Candelaria Ticoman, Ciudad De México, Ticoman, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2689310789-preventa-de-departamentos-en-acueducto-ticoman-cdmx-_JM
Departamento,,2895000,2,2,60,Ote. 107 3370,"Ote. 107 3370, Bondojito, Ciudad De México, Bondojito, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2907464873-departamento-en-venta-col-bondojito-_JM
Departamento,,1748500,,1,60,Santa Rosa,"Santa Rosa, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2718608817-departamento-en-venta-en-unidad-habitacional-_JM
Casa,Bonita Y Comoda Casa En Loma De La Palma,4495000,6,3,200,Puerto Mazatlan,"Puerto Mazatlan, Loma La Palma, Ciudad De México, Loma La Palma, Gustavo A. Madero, Distrito Federal",True,https://casa.mercadolibre.com.mx/MLM-5402893598-bonita-y-comoda-casa-en-loma-de-la-palma-_JM
Casa,,8976900,3,2,397,Ambato,"Ambato, Lindavista Nte., Ciudad De México, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4991290662-casa-en-venta-colonia-lindavista-norte-_JM
Edificio,,20000000,,,390,Lindavista Norte,"Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-4957412058-edificio-en-venta-lindavista-cdmx-_JM
Departamento,Se Vende Departamento En Martín Carrera,2300000,2,2,60,Miguel Miramont 149,"Miguel Miramont 149, Martín Carrera, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2909232565-se-vende-departamento-en-martin-carrera-_JM
Departamento,,1663000,2,1,60,Cam. San Juan Ixtacala 59,"Cam. San Juan Ixtacala 59, Santa Rosa, Ciudad De México, Santa Rosa, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4578855442-departamento-en-venta-en-joyas-vallejo-_JM
Departamento,,2040000,2,1,49,Av. Centenario 1966,"Av. Centenario 1966, Pueblo De Santiago Atzacoalco, Ciudad De México, Atzacoalco, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2845705061-departamento-en-venta-49m2-en-2do-piso-col-santiago-atzacoalco-gam-cdmx-_JM
Casa,,8850000,4,3,417,Ing. Roberto Gayol 121,"Ing. Roberto Gayol 121, Guadalupe Insurgentes, Ciudad De México, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2720617931-excelente-casa-en-venta-guadalupe-insurgentes-_JM
Edificio,,8400000,,,369,San Bartolo Atepehuacan,"San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-4443049266-edificio-comercial-av-100-metros-gustavo-a-madero-_JM
Departamento,,2604000,2,1,66,Gustavo A. Madero,"Gustavo A. Madero, Mexico City, Guadalupe Victoria, Gustavo A. Madero, Distrito Federal",True,https://departamento.mercadolibre.com.mx/MLM-5376895950-departamento-en-venta-en-guadaluope-victoria-ll-gustavo-a-madero-se-acepta-infonavit-bancario-y-efectivo-_JM
Terreno,,4300000,,,194,Nte. 11,"Nte. 11, Defensores De La República, Ciudad De México, Defensores De La República, Gustavo A. Madero, Distrito Federal",False,https://terreno.mercadolibre.com.mx/MLM-2874371767-terreno-en-venta-uso-mixto-cerca-metrobus-cuitlahuac-_JM
Bodega,,9800000,,2,150,Mendelssohn 162,"Mendelssohn 162, Vallejo, Ciudad De México, Vallejo, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2810019157-bodega-en-venta-_JM
Departamento,,785000,2,1,60,Sara 4625,"Sara 4625, Colonia, Guadalupe Tepeyac, Ciudad De México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2943511729-departamentos-del-invi-en-la-gustavo-a-madero-cdmx-_JM
Edificio,,994000,,,2840,Lindavista Norte,"Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-5178249454-edificio-en-renta-en-lindavista-gustavo-a-madero-cdmx-_JM
Departamento,,1890000,2,1,60,DM Nacional,"DM Nacional, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5236047994-bonito-departamento-de-2-recamaras-en-col-san-juan-de-aragon-_JM
Edificio,"Excelente Edificio De Oficinas Con Gran Potencial Para Desarrollar Uso Mixto A Una Calle De Vallejo, Colonia Santa Rosa",12600000,,3,500,Excelente Edificio De Oficinas Con Gran Potencial Para Desarrollar Uso Mixto A Una Calle De Vallejo,"Excelente Edificio De Oficinas Con Gran Potencial Para Desarrollar Uso Mixto A Una Calle De Vallejo, Colonia Santa Rosa, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2862306345-excelente-edificio-de-oficinas-con-gran-potencial-para-desarrollar-uso-mixto-a-una-calle-de-vallejo-colonia-santa-rosa-_JM
Casa,,6590000,4,4,336,Residencial Acueducto De Guadalupe,"Residencial Acueducto De Guadalupe, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2937241455-casa-en-venta-en-residencial-acueducto-de-guadalupe-_JM
Departamento,,850000,3,1,63,Abundio Martínez,"Abundio Martínez, Vallejo, Ciudad De México, Vallejo, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2933131665-vivienda-de-interes-social-preventa-vallejo-gustavo-a-madero-_JM
Departamento,,3650000,3,2,110,San Bartolo Atepehuacan,"San Bartolo Atepehuacan, Mexico City, San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2483998391-en-venta-de-hermoso-departamento-_JM
Departamento,,3650000,3,1,110,Huahuete  SN,"Huahuete  SN, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4833782240-departamento-en-venta-en-gustavo-a-madero-_JM
Casa,,5900000,6,3,216,La Joya,"La Joya, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2940999661-casa-en-esquina-216-m-con-uso-de-suelo-mixto-y-3-departamentos-en-la-joya-gusta-_JM
Casa,,2990000,5,2,257,Nicandro Castillo,"Nicandro Castillo, Juventino Rosas, Ciudad De México, Arboledas De Cuautepec El Alto, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5290375410-casa-para-inversion-cuenta-con-5-departamentos-en-gustavo-a-madero-_JM
Casa,"Hermosa Casa A La Venta En Lindavista Norte, Bastante Amplia, Cómoda E Iluminada",8800000,3,3,240,Lindavista Nte.,"Lindavista Nte., Mexico City, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",True,https://casa.mercadolibre.com.mx/MLM-5385337188-hermosa-casa-a-la-venta-en-lindavista-norte-bastante-amplia-comoda-e-iluminada-_JM
Casa,Casa En Esquina Ideal Para Negocio Y Vivienda,3300000,4,2,120,Puerto Mazatlan,"Puerto Mazatlan, Loma La Palma, Ciudad De México, Loma De La Palma, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4693932672-casa-en-esquina-ideal-para-negocio-y-vivienda-_JM
Casa,,20800000,6,7,550,Jovellanos 45,"Jovellanos 45, Torres Lindavista, Ciudad De México, Torres Lindavista, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4955454240-casa-de-6-recamaras-en-venta-en-torres-lindavista-a-5-min-de-metro-politecnico-_JM
Departamento,Departamento A Estrenar En Colonia Guadalupe Insurgentes,3460000,2,1,50,Ing. Braulio Martínez  #x,"Ing. Braulio Martínez  #x, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4961019566-departamento-a-estrenar-en-colonia-guadalupe-insurgentes-_JM
Edificio,,8950000,,6,350,C. Granate,"C. Granate, Col. Estrella, Ciudad De México, Estrella, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2613483515-edificio-en-venta-en-gustavo-a-madero-col-estrella-_JM
Departamento,,3300000,2,2,67,Terrazas Lindavista,"Terrazas Lindavista, Eje Central Lázaro Cárdenas 1040, Nueva Industrial Vallejo, Ciudad De México, Nueva Industrial Vallejo, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4738938096-departamento-en-venta-en-terrazas-lindavista-_JM
Departamento,,2550000,2,2,58,Capultitlan,"Capultitlan, Mexico City, Capultitlán, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2897773395-departamento-en-venta-en-capultitlan-gustavo-a-madero-cdmx-_JM
